,datetime,content,title,channels
0,2018-11-21 23:59:03,  IHS Markit：预计美国2018年假日销售季零售将增长4.4%，2017年增幅为5.3%。,,"[{'id': '6', 'name': '观点'}]"
1,2018-11-21 23:55:41,  Facebook对英国数据监管方的罚款提起申诉。（英国金融时报）,,"[{'id': '3', 'name': '公司'}]"
2,2018-11-21 23:50:34,【邓普顿多认为美国住宅建筑商、日本股票是“有趣”的投资机会】富兰克林邓普顿多资产解决方案的Brendan Walsh表示，在最近的抛售之后，美国住宅建筑商和日本股票看起来像是一个“有趣”的机会，而新兴市场股票，特别是巴西、南非和俄罗斯股票，可以从更积极的风险环境中受益。Walsh表示，美国住宅建筑商和日本股票具有“强劲”的基本面，应会受益于其所在地区的有利因素，市场正在努力为美联储政策变得限制性的可能性和贸易前景定价，“我们现在不想断言科技股见底”，技术面因素可能导致美国股市年底之际遭受挤压。,,"[{'id': '6', 'name': '观点'}]"
3,2018-11-21 23:48:03,  特斯拉CEO马斯克：特斯拉将销售资源转移至服务上数天。,,"[{'id': '3', 'name': '公司'}]"
4,2018-11-21 23:42:57,亚马逊拒绝告知多少消费者受到影响。 此前亚马逊发言人称，由于技术错误，网站无意中披露了电子邮件和姓名。,,"[{'id': '3', 'name': '公司'}]"
5,2018-11-21 23:38:01,在岸人民币兑美元（CNY）北京时间23:30收报6.9280元，较周二夜盘收盘涨175点；全天成交量336.71亿美元，较周二减少7.98亿美元。,,"[{'id': '5', 'name': '市场'}]"
6,2018-11-21 23:34:21,美国能源信息署（EIA）：11月16日当周EIA原油库存创2017年12月份以来新高。,,"[{'id': '5', 'name': '市场'}]"
7,2018-11-21 23:32:50,  纳指收复7000点整数位心理关口，目前涨1.3%。,,"[{'id': '5', 'name': '市场'}]"
8,2018-11-21 23:32:15,  欧洲斯托克600指数涨幅扩大至1%。,,"[{'id': '5', 'name': '市场'}]"
9,2018-11-21 23:31:41,美国能源信息署（EIA）数据显示，美国原油库存增幅大于预期，美布两油收窄涨幅，WTI原油现报54.24美元/桶，布油现报62.96美元/桶。,,"[{'id': '5', 'name': '市场'}]"
10,2018-11-21 23:30:32,据悉，大众汽车将与博通（AVGO）和解逾11亿美元的专利纠纷。,,"[{'id': '3', 'name': '公司'}]"
11,2018-11-21 23:30:12,美国11月16日当周EIA原油库存变动 485.1万桶，预期 350万桶，前值 1027万桶。,,"[{'id': '4', 'name': '数据'}]"
